BV,b,l,SAO,SPtype,Vmag,name,J2000_a,J2000_d,RAhms,DEdms
0.18,-15.82,121.52,36602,A5V,4.94,20Pi  Cas,10.86708333,47.02472222,47  1    29,-15.82121.52  0 43
-0.03,-78.52,311.54,192690,A0V,6.06,  Lam1Scl,10.67875,-38.46333333,38 27    48,-78.52311.54  0 42
1.32,-56.83,304.92,248238,K5III,5.98,         ,10.67416667,-60.2625,60 15    45,-56.83304.92  0 42
0.5,-51.63,304.43,248237,F6V,5.39,  Rho Tuc,10.61833333,-65.46805556,65 28     5,-51.63304.43  0 42
1.02,-80.68,111.31,147420,G9.5IIICH-1,2.04,16Bet Cet,10.8975,-17.98666667,17 59    12,-80.68111.31  0 43
-0.12,-14.99,121.72,36617,B5V,5.67,         ,11.11,47.86416667,47 51    51,-14.99121.72  0 44
1.1,-74.78,115.84,147422,K2III-IV,6.02,         ,10.95916667,-12.01166667,12  0    42,-74.78115.84  0 43
0,-59.63,305.08,232162,A0IV,4.36,  Eta Phe,10.83833333,-57.46305556,57 27    47,-59.63305.08  0 43
0.05,12.12,122.55,4216,A2IV,5.66,21    Cas,11.4125,74.98805556,74 59    17,12.12122.55  0 45
-0.07,-14.57,121.78,36620,B5IIIe,4.54,22Omi Cas,11.18125,48.28444444,48 17     4,-14.57121.78  0 44
1.01,-73.39,116.69,147423,K0III,4.76,17Phi1Cet,11.0475,-10.60944444,10 36    34,-73.39116.69  0 44
1.16,-78.6,310.14,192703,K1III,5.9,  Lam2Scl,11.05041667,-38.42166667,38 25    18,-78.6310.14  0 44
0.04,-7.64,122.05,21677,A2V s,5.42,         ,11.32166667,55.22166667,55 13    18,-7.64122.05  0 45
0.33,-84.66,106.02,166528,F1III-IV,5.24,         ,11.185,-22.00611111,22  0    22,-84.66106.02  0 44
0.28,-74.4,307.36,215221,F0V,5.94,         ,11.23791667,-42.67666667,42 40    36,-74.4307.36  0 44
0.44,-54.61,304.31,248243,F5III-IV,6.07,         ,11.13458333,-62.49777778,62 29    52,-54.61304.31  0 44
1.62,-67.46,119,128935,M0III,6.15,         ,11.35041667,-4.629166667, 4 37    45,-67.46119.0  0 45
0.53,-63.39,305.07,232168,F7III,6.15,         ,11.25,-53.715,53 42    54,-63.39305.07  0 45
0.61,-75.68,117.05,147432,G0V,6.15,18    Cet,11.36958333,-12.88083333,12 52    51,-75.68117.05  0 45
-0.07,-18,121.95,36640,B9.5IIIpHgMnCr,6.05,         ,11.54541667,44.86138889,44 51    41,-18.0121.95  0 46
0.31,-79.21,115.55,147436,F1IVn,6.47,         ,11.42375,-16.42416667,16 25    27,-79.21115.55  0 45
1.09,-3.29,122.33,21693,G0Ib,6.39,         ,11.67666667,59.57444444,59 34    28,-3.29122.33  0 46
-0.08,11.98,122.69,4226,B8III,5.41,23    Cas,11.94208333,74.8475,74 50    51,11.98122.69  0 47
0.64,-69.54,305.68,215232,G1V,5.8,         ,11.44,-47.55166667,47 33     6,-69.54305.68  0 45
0.98,-85.24,108.14,166555,G3V,5.5,         ,11.54916667,-22.52194444,22 31    19,-85.24108.14  0 46
1.65,-47.38,121.19,92072,M4IIIa,5.38,57    Psc,11.6375,15.47555556,15 28    32,-47.38121.19  0 46
1.01,9.8,122.68,4229,K0IV,5.87,         ,12.03791667,72.675,72 40    30,9.8122.68  0 48
0.97,-50.88,121.22,92080,G8II,5.5,58    Psc,11.75625,11.97388889,11 58    26,-50.88121.22  0 47
0.27,-43.28,121.57,92082,F0Vn,6.13,59    Psc,11.80666667,19.57888889,19 34    44,-43.28121.57  0 47
1.12,-38.59,121.74,74267,K1IIe,4.06,34Zet And,11.83458333,24.26722222,24 16     2,-38.59121.74  0 47
0.94,-56.12,121.13,109461,G8III,5.99,60    Psc,11.84833333,6.740833333, 6 44    27,-56.12121.13  0 47
0.5,-41.94,121.82,74280,F8V,6.54,61    Psc,11.97833333,20.92527778,20 55    31,-41.94121.82  0 47
1.3,-80.89,117.34,147451,K3III,5.7,         ,11.93041667,-18.06138889,18  3    41,-80.89117.34  0 47
0.57,-5.05,122.6,21732,F9V+dM0,3.44,24Eta Cas,12.275,57.81583333,57 48    57,-5.05122.6  0 49
-0.06,-84.54,114.55,166585,B9V,5.57,         ,12.00458333,-21.7225,21 43    21,-84.54114.55  0 48
1.1,-55.56,121.55,109470,G8III,5.93,62    Psc,12.0725,7.3, 7 18     0,-55.56121.55  0 48
0.88,-57.57,121.49,109471,K2V,5.75,         ,12.09583333,5.280555556, 5 16    50,-57.57121.49  0 48
-0.11,-11.9,122.51,21729,B9III,4.89,25Nu  Cas,12.20875,50.96833333,50 58     6,-11.9122.51  0 48
1.5,-55.28,121.73,109474,K4IIIb,4.43,63Del Psc,12.17083333,7.585, 7 35     6,-55.28121.73  0 48
0.51,-45.92,122.09,92099,F8V,5.07,64    Psc,12.24458333,16.94055556,16 56    26,-45.92122.09  0 48
-0.15,-21.79,122.6,36699,B5V+F8V,4.53,35Nu  And,12.45333333,41.07888889,41  4    44,-21.79122.6  0 49
1.3,-76.42,120.84,147464,K5III,5.59,         ,12.35666667,-13.56138889,13 33    41,-76.42120.84  0 49
0.95,-86.97,113.36,166602,K2III,5.9,         ,12.30791667,-24.13638889,24  8    11,-86.97113.36  0 49
0.9,-70.42,304.21,215245,G8III,6.27,         ,12.23625,-46.69777778,46 41    52,-70.42304.21  0 48
0.36,-35.16,122.51,74295,F4III,7,65    Psc,12.47,27.71083333,27 42    39,-35.16122.51  0 49
0.13,-86.21,116.39,166608,A3V,6.28,         ,12.38916667,-23.36166667,23 21    42,-86.21116.39  0 49
0.49,1.38,122.85,11424,G0III-IV+B9.5V,5.39,         ,12.68166667,64.2475,64 14    51,1.38122.85  0 50
0.01,-17.87,122.72,36702,A0pCr,6.15,         ,12.57625,45.00222222,45  0     8,-17.87122.72  0 50
0.5,-73.51,121.81,147470,F7IV-V,5.19,19Phi2Cet,12.53166667,-10.64444444,10 38    40,-73.51121.81  0 50
1.37,-42.2,303.18,255710,K5III,5.07,  Lam Hyi,12.1475,-74.92333333,74 55    24,-42.2303.18  0 48
